"Type","Release Start","Release End","Race","Total # of Fish Released","# of CWT Fish Released","Loss Threshold (0.25% of CWT Released)","Confirmed Loss","Percent of Threshold"
"Young-of-year","2025-03-14","2025-03-14","Spring","961,411","476,741",1191.85,16.56,"1.4%"
"Young-of-year","2025-03-21","2025-03-21","Spring","962,741","475,831",1189.58,110.13,"9.3%"
"Young-of-year","2025-04-09","2025-04-09","Spring","1,012,800","504,304",1260.76,0,"0%"
"Young-of-year","2025-04-23","2025-04-24","Fall","1,505,055","376,122",940.31,0,"0%"
"Young-of-year","2025-04-15","2025-04-15","Fall","2,122,103","695,170",1737.93,0,"0%"
"Young-of-year","2025-04-28","2025-04-30","Fall","1,472,338","368,085",920.21,0,"0%"
